Category,Line Item,Planned Budget,Week 1 Actual,Week 2 Actual,Week 3 Actual,Week 4 Actual,Week 5 Actual,Week 6 Actual,Week 7 Actual,Week 8 Actual,Week 9 Actual,Week 10 Actual,Week 11 Actual,Week 12 Actual,Total Actual,Variance,% Spent,Notes
Cloud Infrastructure,AWS Compute (EC2 + EKS),$45000,$2800,$3200,$3400,$3600,$3800,$4100,$4200,$4300,$4400,$4500,$4600,$4700,$47600,+$2600,106%,"Higher than planned due to performance tuning (larger instances for vector DB), acceptable overage"
Cloud Infrastructure,AWS Storage (S3 + EBS),$18000,$1200,$1300,$1350,$1400,$1450,$1500,$1550,$1600,$1650,$1700,$1750,$1800,$19250,+$1250,107%,"Increased storage for vector embeddings (100K → 150K) and audit logs (HIPAA compliance)"
Cloud Infrastructure,AWS Data Services (RDS + Kinesis),$32000,$2400,$2500,$2600,$2700,$2800,$2900,$3000,$3100,$3200,$3300,$3400,$3500,$35400,+$3400,111%,"Kinesis shards scaled up Week 3 for CDC throughput, RDS storage increased Week 8"
Cloud Infrastructure,Snowflake Data Warehouse,$28000,$2000,$2100,$2200,$2300,$2400,$2500,$2600,$2700,$2800,$2900,$3000,$3100,$31600,+$3600,113%,"Higher query volume than expected, usage-based pricing, optimized Week 10+ but still over"
SaaS Tools,Pinecone Vector Database,$24000,$1800,$1900,$2000,$2100,$2200,$2300,$2400,$2500,$2600,$2700,$2800,$2900,$28200,+$4200,118%,"Moved from Starter to Growth tier Week 5 for performance, upgraded to Pro Week 9 for HIPAA BAA"
SaaS Tools,Datadog Monitoring & APM,$18000,$1400,$1450,$1500,$1550,$1600,$1650,$1700,$1750,$1800,$1850,$1900,$1950,$19100,+$1100,106%,"Added custom metrics Week 6, increased retention Week 8 for audit requirements"
SaaS Tools,Grafana Cloud,$6000,$450,$475,$500,$525,$550,$575,$600,$625,$650,$675,$700,$725,$7050,+$1050,118%,"Upgraded for advanced alerting and dashboard sharing, more users than expected"
SaaS Tools,LangChain/LlamaIndex (Enterprise),$15000,$1100,$1150,$1200,$1250,$1300,$1350,$1400,$1450,$1500,$1550,$1600,$1650,$15500,+$500,103%,"Enterprise tier required for HIPAA compliance and support SLAs"
SaaS Tools,Cohere Reranking API,$12000,$0,$0,$0,$0,$0,$800,$950,$1100,$1250,$1400,$1550,$1700,$8750,-$3250,73%,"Not used until Week 6, lower volume than estimated initially, significant cost savings"
SaaS Tools,OpenAI API (GPT-4 + Embeddings),$65000,$4200,$4500,$4800,$5100,$5400,$5700,$6000,$6300,$6600,$6900,$7200,$7500,$70200,+$5200,108%,"Higher embedding volume (150K vs 100K planned), GPT-4 usage for complex queries increased"
SaaS Tools,Anthropic Claude API (Backup),$8000,$0,$0,$0,$0,$0,$0,$0,$500,$600,$700,$800,$900,$3500,-$4500,44%,"Added as fallback Week 8, lower usage than budgeted (primary: OpenAI), cost savings"
Data & ML Platform,dbt Cloud (Team Plan),$9000,$700,$725,$750,$775,$800,$825,$850,$875,$900,$925,$950,$975,$10050,+$1050,112%,"Additional developer seats Week 4, more models than planned (50 vs 35)"
Data & ML Platform,Fivetran Data Connectors,$22000,$1600,$1700,$1800,$1900,$2000,$2100,$2200,$2300,$2400,$2500,$2600,$2700,$25700,+$3700,117%,"Added 3 additional connectors (claims data, external HIE, patient portal), higher MAR"
Data & ML Platform,Great Expectations (Enterprise),$12000,$900,$925,$950,$975,$1000,$1025,$1050,$1075,$1100,$1125,$1150,$1175,$12450,+$450,104%,"Enterprise tier for audit and compliance features, slightly over due to data volume"
Security & Compliance,OPA (Open Policy Agent) + Styra,$8000,$600,$625,$650,$675,$700,$725,$750,$775,$800,$825,$850,$875,$8850,+$850,111%,"Styra DAS added Week 8 for policy management UI and audit dashboards"
Security & Compliance,HIPAA Compliance Audit,$15000,$0,$0,$0,$0,$0,$0,$0,$0,$5000,$5000,$5000,$0,$15000,$0,100%,"Audit conducted Week 9-11, paid in 3 installments, on budget"
Security & Compliance,Penetration Testing,$12000,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$12000,$12000,$0,100%,"Pen test Week 12, identified 2 medium issues (fixed same week), on budget"
Personnel,ML Engineering Contractor (1 FTE),$90000,$0,$0,$0,$0,$0,$7500,$7500,$7500,$7500,$7500,$7500,$7500,$52500,-$37500,58%,"Contractor started Week 6 (not Week 1 as budgeted), 7 weeks instead of 12, major savings"
Personnel,Security Consultant (Part-Time),$18000,$0,$0,$0,$0,$0,$0,$0,$1500,$1500,$1500,$1500,$1500,$7500,-$10500,42%,"Started Week 8 (not Week 1), part-time only (20% not 40%), significant savings"
Personnel,UX Researcher (Contract),$15000,$0,$0,$0,$0,$0,$0,$0,$0,$0,$3000,$6000,$6000,$15000,$0,100%,"UAT planning and execution Weeks 10-12, on budget"
Training & Development,Team Training (Cloud + MLOps),$12000,$2000,$2000,$2000,$2000,$2000,$2000,$0,$0,$0,$0,$0,$0,$12000,$0,100%,"Completed Weeks 1-6 as planned, AWS + ML certifications for 5 team members"
Training & Development,Conference & Workshops,$8000,$0,$0,$0,$0,$0,$0,$0,$1500,$1500,$1500,$1500,$1500,$7500,-$500,94%,"Sent 3 team members to ML conference Week 8-12, under budget"
Miscellaneous,Travel (Site Visits + Meetings),$5000,$300,$400,$450,$500,$550,$600,$650,$700,$750,$800,$0,$0,$5700,+$700,114%,"More in-person meetings than expected (domain expert workshops, stakeholder demos)"
Miscellaneous,Software Licenses (Other),$8000,$600,$625,$650,$675,$700,$725,$750,$775,$800,$825,$850,$875,$8850,+$850,111%,"Slack Enterprise, Jira, Confluence, misc dev tools"
Miscellaneous,Contingency Reserve,$20000,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,-$20000,0%,"Not used, rolled into overall project savings"
TOTAL,All Categories,$550000,$27050,$29175,$30800,$32425,$34150,$40200,$42500,$49900,$55300,$59200,$63425,$67875,$532000,-$18000,97%,"Under budget by $18K (3.3%), primarily from personnel savings (contractors started late)"
